manifest_id,doc_id,source_domain,event_published_at,event_ts_hour,title,generated_on
48,ZZM_CN_630868bffd90,zzmetro.cn,2023-12-19 23:38:00,2023-12-19 23:00:00,智汇绿都  慧塑活力  郑州市轨道交通12号线一期正式初期运营 郑州市轨道交通12号线一期定于12月20日11点58分初期运营。,2025-12-24
49,ZZM_CN_8737de37220c,zzmetro.cn,2023-12-05 15:50:00,2023-12-05 15:00:00,解锁全民阅读新方式——地铁图书漂流屋正式启动运行 12月4日上午，“郑好读书•一本书图书漂流屋”项目在第38个国际志愿者日主题实践活动上正式亮相，郑州市首个地铁“图书漂流屋”在地铁1号线紫荆山站F口正式投入运行。... 12月4日上午，“郑好读书•一本书图书漂流屋”项目在第38个国际志愿者日主题实践活动上正式亮相，郑州市首个地铁“图书漂流屋”在地铁1号线紫荆山站F口正式投入运行。,2025-12-24
50,ZZM_CN_c5e35784163b,zzmetro.cn,2023-11-20 16:50:00,2023-11-20 16:00:00,喜报！郑州地铁集团有限公司获评2023年度郑州市清廉建设优秀示范点 近日，公司喜获郑州市清廉建设优秀示范点，也是郑州市国资系统唯一一家被市纪委命名为2023年度郑州市清廉建设优秀示范点的市管国有企业。... 近日，公司喜获郑州市清廉建设优秀示范点，也是郑州市国资系统唯一一家被市纪委命名为2023年度郑州市清廉建设优秀示范点的市管国有企业。,2025-12-24
51,ZZM_CN_d0c0850e023f,zzmetro.cn,2023-10-23 19:45:00,2023-10-23 19:00:00,地铁站里遇见阅读之美，重阳节郑州老年乘客畅享文化康养之旅 10月23日上午，“桑榆正当年，悦读更有力”重阳读书会在郑州会展中心地铁站举行，通过开展阅读交流、书法创作，科普中医药文化，分享地铁安全出行知识等活动，为老年人们送上节日祝福，弘扬尊老、敬老、爱老、助老的中华传统美德。... 10月23日上午，“桑榆正当年，悦读更有力”重阳读书会在郑州会展中心地铁站举行，通过开展阅读交流、书法创作，科普中医,2025-12-24
52,ZZM_CN_effddb23464a,zzmetro.cn,2023-09-29 07:05:00,2023-09-29 07:00:00,259.17万人次！郑州地铁线网日客运量创历史新高！ 9月28日，郑州地铁线网日客运量达259.17万人次，创单日客运量历史新高！其中，1号线客运量69.71万人次，2号线客运量56.38万人次，3号线客运量24.43万人次，4号线客运量15.93万人次，5号线客运量58.93万人次，6号线客运量3.53万人次，城郊线客运量19.02万人次，10号线客运量7.51万人次，14号线客运量3.73万人,2025-12-24
53,ZZM_CN_1fd98913fc85,zzmetro.cn,2023-09-28 17:10:00,2023-09-28 17:00:00,智慧橙线　开启新程　行稳致远　向美而行——致社会各界和广大市民的感谢信 尊敬的广大市民和社会各界朋友们：,2025-12-24
54,ZZM_CN_395cfbc9a046,zzmetro.cn,2023-09-28 10:45:00,2023-09-28 10:00:00,智慧橙线　载梦驰行　郑州市轨道交通10号线一期开通运营 郑州市轨道交通10号线一期于今日11点58分开通运营。... 郑州市轨道交通10号线一期于今日11点58分开通运营。,2025-12-24
55,ZZM_CN_03beed17e6b5,zzmetro.cn,2023-09-25 21:10:00,2023-09-25 21:00:00,智慧橙线　载梦驰行——10号线一期媒体探访活动圆满举行 9月25日下午，河南电视台、河南商报、大河报、郑州日报、郑州新闻广播等20多家媒体单位和粉丝代表应邀参加了10号线一期初期运营前探访活动。... 9月25日下午，河南电视台、河南商报、大河报、郑州日报、郑州新闻广播等20多家媒体单位和粉丝代表应邀参加了10号线一期初期运营前探访活动。,2025-12-24
56,ZZM_CN_733dc7747865,zzmetro.cn,2023-09-21 19:35:00,2023-09-21 19:00:00,定了！城郊铁路小乔站、华南城东站 9月22日正式开门迎客 为方便大家乘车，郑州地铁城郊铁路小乔站、华南城东站将于9月22日正式开启运营服务。... 为方便大家乘车，郑州地铁城郊铁路小乔站、华南城东站将于9月22日正式开启运营服务。,2025-12-24
57,ZZM_CN_bbaade3948cd,zzmetro.cn,2023-09-19 16:30:00,2023-09-19 16:00:00,郑青春读书会火热来袭　见证青年与城市的“双向奔赴” 为彰显青春郑州、活力郑州的无限魅力，引导激发广大在郑青年扬青春之志、展青春之姿、建青春之功，9月19日，“激扬青春梦想 悦读活力郑州”郑青春读书会在紫荆山地铁站内举行。郑州市委宣传部副部长杨洁、郑州市委网信办副主任韩锋全、郑州地铁集团党委委员、副总经理李亚军、河南省新华书店中原图书大厦副经理孙淑红，省高校相关负责人、学生代表等共计40余人参加此次,2025-12-24
58,ZZM_CN_8b0857ab4df7,zzmetro.cn,2023-09-13 09:21:00,2023-09-13 09:00:00,郑州地铁集团有限公司关于印发郑州市第九届职业技能竞赛轨道交通运输服务行业大赛实施方案和技术方案的通知 根据郑州市职业技能竞赛领导小组办公室《关于组织开展郑州市第九届职业技能竞赛活动的通知》安排，郑州市第九届职业技能竞赛轨道交通运输服务行业大赛计划于2023年9月20日~21日开赛，大赛包含变配电运行值班员和轨道交通行车调度员两个赛项，现将大赛实施方案和技术方案予以印发，请各参赛单位做好赛前准备工作,2025-12-24
59,ZZM_CN_490a25d55ec0,zzmetro.cn,2023-09-07 17:00:00,2023-09-07 17:00:00,应急救护进交通——红十字首个交通领域“应急救护学习e站”在郑州地铁揭牌 9月7日上午，在第24个“世界急救日”来临之际，郑州地铁1号线紫荆山站内举行了“红十字应急救护学习e站”暨医疗共建合作点揭牌仪式。中国红十字基金会应急救护项目中心主任张延超，河南省红十字会党组成员、秘书长刘瑞勇，郑州市红十字会党组书记、常务副会长丁振勇，郑州地铁集团有限公司党委副书记、总经理杨勇及多家医疗合作单位代表60余人参,2025-12-24
